stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,1,1.0,31.846983666007873,,31.838088290998712,31.846983666007873,32.33443850000913,32.33443850000913,32.33970362500986,32.62098979100119,45.20684487500694,right,1.0,1,1,12.869414749991847,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
25,1,1.0,45.216854250000324,,45.207184833008796,45.216854250000324,45.70693587500136,45.70693587500136,45.70693587500136,46.000984166006674,46.903552083007526,right,1.0,1,1,1.1841722920071334,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
26,1,1.0,46.91299620800419,,46.90403425000841,46.91299620800419,47.40108900000632,47.40108900000632,47.406367957999464,47.68796220800141,47.95679516599921,right,1.0,1,1,0.5521981669880915,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
27,0.5,1.0,47.96679445799964,,47.957149499998195,47.96679445799964,48.4558248329995,48.4558248329995,48.4558248329995,48.75101816600363,49.75373391600442,right,1.0,0,0,1.283861749994685,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
28,0.5,1.5,49.76288887500414,,49.754239375004545,49.76288887500414,50.25100562500302,50.25100562500302,50.25568012500298,50.537952208003844,51.386882750011864,left,-1.5,1,1,1.1307622080057627,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
29,0.5,1.5,51.396009333009715,,51.38721625000471,51.396009333009715,51.884195833001286,51.884195833001286,51.88947762500902,52.17246095801238,62.269829708006,left,-1.5,0,0,10.371428582991939,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
30,0.5,2.0,62.27890654100338,,62.27013112499844,62.27890654100338,62.767519583008834,62.767519583008834,62.7727463330084,63.054931291000685,63.336928750009974,right,2.0,1,1,0.5562627500039525,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
31,0.5,2.0,63.34615129099984,,63.33724483300466,63.34615129099984,63.83426495800086,63.83426495800086,63.83999200000835,64.12113783300447,64.5697138329997,right,2.0,0,0,0.7228586249984801,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
32,0.5,2.5,64.57878633300425,,64.57002833300794,64.57878633300425,65.06760225001199,65.06760225001199,65.07250950000889,65.35492070800683,66.8066040410049,left,-2.5,1,1,1.7345766670041485,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
33,0.5,2.5,66.81753429101082,,66.8069042499992,66.81753429101082,67.30614670801151,67.30614670801151,67.30614670801151,67.60105350000958,71.95306420800625,left,-2.5,1,1,4.6351929170050425,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
34,0.5,2.5,71.95773283300514,,71.95338345800701,71.95773283300514,72.450854833005,72.450854833005,72.45590725001239,72.73749816601048,73.10299008300353,right,2.5,1,1,0.6482181250030408,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
35,0.5,2.0,73.10782187500445,,73.10328675000346,73.10782187500445,73.60075066600984,73.60075066600984,73.60576454100374,73.88829741600784,75.04103283300356,right,2.0,1,1,1.4359879169933265,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
36,0.5,2.0,75.05087866600661,,75.04133833300148,75.05087866600661,75.53867983300006,75.53867983300006,75.53867983300006,75.83439487501164,76.2364134160016,right,2.0,1,1,0.6896340000093915,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
37,0.5,2.0,76.24106104100065,,76.2367193329992,76.24106104100065,76.73444225000276,76.73444225000276,76.74010991600517,77.02308391600673,79.36949212499894,right,2.0,1,1,2.6298089159972733,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
38,0.5,1.5,79.37448104099894,,79.36988883301092,79.37448104099894,79.86738937500922,79.86738937500922,79.87205437500961,80.15546041600464,81.07395316600741,right,1.5,1,1,1.2031379169930005,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
39,0.5,1.5,81.08413237500645,,81.0742799580039,81.08413237500645,81.57295779100969,81.57295779100969,81.57295779100969,81.8718907500006,82.72409629100002,left,-1.5,1,1,1.1472322089975933,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
40,0.5,1.5,82.73414350001258,,82.72441258300387,82.73414350001258,83.22316770801262,83.22316770801262,83.22316770801262,83.51756983299856,83.77405758301029,right,1.5,1,1,0.5468392500042683,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
41,0.5,1.0,83.78408366600343,,83.77437204100715,83.78408366600343,84.27282850000483,84.27282850000483,84.27282850000483,84.57128816600016,87.72004395800468,right,1.0,0,0,3.4423598329885863,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
42,0.5,1.5,87.72509375000664,,87.72036558300897,87.72509375000664,88.21748125000158,88.21748125000158,88.22229250000964,88.50448683300056,88.88676808300079,right,1.5,1,1,0.6567603750008857,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
43,0.5,1.5,88.89216183300596,,88.88728300000366,88.89216183300596,89.38399195800594,89.38399195800594,89.38971187500283,89.67105654100305,91.03632416600885,left,-1.5,0,0,1.6410891249979613,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
44,0.5,2.0,91.0410015410016,,91.03663662500912,91.0410015410016,91.53410054100095,91.53410054100095,91.53916270800983,91.82156766600383,92.4700067500089,left,-2.0,1,1,0.9251812079892261,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
45,0.5,2.0,92.4750734160043,,92.47051337501034,92.4750734160043,92.96731216600165,92.96731216600165,92.97278900000674,93.2545106250036,93.63630995800486,left,-2.0,1,1,0.6586389169970062,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
46,0.5,2.0,93.6408590409992,,93.63660929100297,93.6408590409992,94.13400066600298,94.13400066600298,94.13877416600008,94.42081420800241,94.64021024999965,right,2.0,1,1,0.5028654999914579,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
47,0.5,1.5,94.65075533300114,,94.64055554100196,94.65075533300114,95.13888516600127,95.13888516600127,95.13888516600127,95.43400037501124,95.68626700001187,left,-1.5,1,1,0.5435924589983188,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
48,0.5,1.5,95.69134266600304,,95.6866648330033,95.69134266600304,96.18403304100502,96.18403304100502,96.18906341600814,96.47163254101179,97.58652262500254,right,1.5,1,1,1.397084915995947,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
49,0.5,1.5,97.59165316600411,,97.58684175000235,97.59165316600411,98.08409983300953,98.08409983300953,98.08899329100677,98.37162062501011,99.21867816599843,right,1.5,1,1,1.1286262499925215,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
50,0.5,1.0,99.22189966600854,,99.21888629101159,99.22189966600854,99.71734629099956,99.71734629099956,99.71734629099956,100.00451658300881,100.51981933299976,left,-1.0,1,1,0.7895996250008466,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
51,0.5,1.0,100.5248341250117,,100.52023729099892,100.5248341250117,101.01737383300497,101.01737383300497,101.02219191601034,101.30445408300147,102.50655462501163,left,-1.0,1,1,1.4865397090034094,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
52,0.5,1.0,102.51736850000452,,102.506882665999,102.51736850000452,103.0068570410076,103.0068570410076,103.0068570410076,103.30415470800654,105.34005583300313,right,1.0,0,0,2.3300639580120333,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
53,0.5,1.5,105.3506657500111,,105.34042291600781,105.3506657500111,105.83942454100179,105.83942454100179,105.83942454100179,106.13394020800479,108.08986012500827,right,1.5,1,1,2.2476617909997003,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
54,0.5,1.5,108.10068920800404,,108.09020033301204,108.10068920800404,108.58906187499815,108.58906187499815,108.58906187499815,108.88397145800991,110.42121779100853,right,1.5,1,1,1.8158210839901585,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
55,0.5,1.5,110.42622125000344,,110.42164862500795,110.42622125000344,110.91734537501179,110.91734537501179,110.92256929101131,111.2047856660065,111.59019395800715,right,1.5,1,1,0.6698907090030843,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
56,0.5,1.0,111.60068154100736,,111.59053783300624,111.60068154100736,112.08914583300066,112.08914583300066,112.08914583300066,112.38799637500779,112.70614187500905,left,-1.0,1,1,0.6138432079897029,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
57,0.5,1.0,112.71731029100192,,112.70646929100621,112.71731029100192,113.20570920800674,113.20570920800674,113.20570920800674,113.50078470801236,113.78685837500961,right,1.0,1,1,0.5714622919913381,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
58,0.5,1.0,113.79178729100386,,113.7871924580104,113.79178729100386,114.28402533300687,114.28402533300687,114.28948520800623,114.57191929100372,114.86985475000984,right,1.0,1,1,0.5793950419902103,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
59,0.5,1.0,114.87513791600941,,114.87017408300017,114.87513791600941,115.36747170799936,115.36747170799936,115.37349387499853,115.65449420800724,116.28641000000061,right,1.0,1,1,0.9122784999926807,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
60,0.5,1.0,116.2917214580084,,116.28672962500423,116.2917214580084,116.783964458009,116.783964458009,116.78925716600497,117.07097366600647,117.33626204100437,left,-1.0,1,1,0.5397633749962552,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
61,0.5,1.0,117.3412035000074,,117.3365987080033,117.3412035000074,117.8339321250096,117.8339321250096,117.83913316600956,118.12119604100008,118.34034141599841,right,1.0,1,1,0.5025780419964576,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
